guid,Question,Answer,tags
kpss-t1,Osmanlı Devleti'nin kurucusu kimdir?,Osman Bey,KPSS::Tarih
kpss-t2,İlk Türk İslam devleti hangisidir?,Karahanlılar,KPSS::Tarih
kpss-t3,Kurtuluş Savaşı'nı başlatan olay nedir?,Atatürk'ün 19 Mayıs 1919'da Samsun'a çıkması,KPSS::Tarih
kpss-t4,Lale Devri hangi padişah zamanında yaşanmıştır?,III. Ahmed,KPSS::Tarih
kpss-t5,Tanzimat Fermanı hangi yıl ilan edilmiştir?,1839,KPSS::Tarih
kpss-t6,Sivas Kongresi'nin tarihi nedir?,4-11 Eylül 1919,KPSS::Tarih
kpss-t7,TBMM ne zaman açılmıştır?,23 Nisan 1920,KPSS::Tarih
kpss-t8,Lozan Antlaşması hangi tarihte imzalanmıştır?,24 Temmuz 1923,KPSS::Tarih
kpss-t9,Saltanatın kaldırılması ne zamandır?,1 Kasım 1922,KPSS::Tarih
kpss-t10,Cumhuriyet ne zaman ilan edilmiştir?,29 Ekim 1923,KPSS::Tarih
kpss-tr1,Okumak fiilinin kökü nedir?,Oku,KPSS::Turkce
kpss-tr2,Türkçede kaç tane ünlü harf vardır?,8,KPSS::Turkce
kpss-tr3,Kitap kelimesinin çoğul eki almış hali nedir?,Kitaplar,KPSS::Turkce
kpss-tr4,Nesne alan fiillere ne denir?,Geçişli fiil,KPSS::Turkce
kpss-tr5,Ben geldim cümlesinin yüklemi hangisidir?,geldim,KPSS::Turkce
kpss-tr6,Sıfatın diğer adı nedir?,Ön ad,KPSS::Turkce
kpss-tr7,Zarfın diğer adı nedir?,Belirteç,KPSS::Turkce
kpss-tr8,Eyvah! ne tür bir kelimedir?,Ünlem,KPSS::Turkce
kpss-tr9,Zamirin diğer adı nedir?,Adıl,KPSS::Turkce
kpss-tr10,Bağlacın görevi nedir?,Kelimeleri veya cümleleri birbirine bağlamak,KPSS::Turkce
kpss-m1,12 x 12 kaçtır?,144,KPSS::Matematik
kpss-m2,En küçük asal sayı kaçtır?,2,KPSS::Matematik
kpss-m3,Bir üçgenin iç açıları toplamı kaçtır?,180,KPSS::Matematik
kpss-m4,Pi sayısı yaklaşık kaçtır?,3.14,KPSS::Matematik
kpss-m5,100'ün karekökü kaçtır?,10,KPSS::Matematik
kpss-m6,Bir karenin alanı nasıl hesaplanır?,Bir kenarının karesi,KPSS::Matematik
kpss-m7,2 üzeri 5 kaçtır?,32,KPSS::Matematik
kpss-m8,Hipotenüs hangi üçgende bulunur?,Dik üçgen,KPSS::Matematik
kpss-m9,0 faktöriyel kaçtır?,1,KPSS::Matematik
kpss-m10,Bir çemberin çevresi formülü nedir?,2 * pi * r,KPSS::Matematik
kpss-v1,Anayasanın değiştirilemez maddelerinden biri nedir?,Başkentin Ankara olması,KPSS::Vatandaslik
kpss-v2,Türkiye Cumhuriyeti'nin yönetim şekli nedir?,Cumhuriyet,KPSS::Vatandaslik
kpss-v3,Seçme yaşı kaçtır?,18,KPSS::Vatandaslik
kpss-v4,Milletvekili sayısı kaçtır?,600,KPSS::Vatandaslik
kpss-v5,Anayasa Mahkemesi kaç üyeden oluşur?,15,KPSS::Vatandaslik
kpss-v6,Cumhurbaşkanı kaç yıllığına seçilir?,5,KPSS::Vatandaslik
kpss-v7,Yüksek Seçim Kurulu (YSK) başkanı kim tarafından seçilir?,Kendi üyeleri arasından,KPSS::Vatandaslik
kpss-v8,Yerel seçimler kaç yılda bir yapılır?,5,KPSS::Vatandaslik
kpss-v9,Türk bayrağının şekli ve rengi hangi kanunla belirlenir?,Bayrak Kanunu,KPSS::Vatandaslik
kpss-v10,Türk vatandaşlığı nasıl kazanılır?,Doğumla veya sonradan,KPSS::Vatandaslik
kpss-c1,Türkiye'nin en yüksek dağı hangisidir?,Ağrı Dağı,KPSS::Cografya
kpss-c2,En uzun nehrimiz hangisidir?,Kızılırmak,KPSS::Cografya
kpss-c3,En büyük gölümüz hangisidir?,Van Gölü,KPSS::Cografya
kpss-c4,Karadeniz Bölgesi'nin en karakteristik iklimi nedir?,Her mevsim yağışlı,KPSS::Cografya
kpss-c5,Akdeniz ikliminin bitki örtüsü nedir?,Maki,KPSS::Cografya
kpss-c6,Türkiye'nin komşularından biri hangisidir?,Yunanistan,KPSS::Cografya
kpss-c7,En çok göç alan ilimiz hangisidir?,İstanbul,KPSS::Cografya
kpss-c8,İç Anadolu Bölgesi'nin en büyük şehri hangisidir?,Ankara,KPSS::Cografya
kpss-c9,Ege Bölgesi'nde dağlar denize nasıl uzanır?,Dik,KPSS::Cografya
kpss-c10,Türkiye'nin en güney ucu hangi ilimizdedir?,Hatay,KPSS::Cografya
